,Title,File Type,Last Modified Date,Description,URL
174,Ohio Workers Transportation Demographics - Census Tract 2006-2010 -- Means of Transportation (Workers 16 years and over),CSV,Date not provided (Last updated by provider),CENSUS TRANSPORTATION PLANNING PRODUCTS PROGRAM (CTPP) converted the American Community Survey results into various demographics that could be used to perform various transportation Studies. This Ohio transportation demographics dataset is ...,https://discovery.smartcolumbusos.com/dataset/aashto/7fb498ae_d6ef_40e7_9a28_ff6ea6a471da
175,Ohio Workers Transportation Demographics - Census Tract 2006-2010 -- Time Arriving (Workers 16 years and over),CSV,Date not provided (Last updated by provider),CENSUS TRANSPORTATION PLANNING PRODUCTS PROGRAM (CTPP) converted the American Community Survey results into various demographics that could be used to perform various transportation Studies. This Ohio transportation demographics dataset is ...,https://discovery.smartcolumbusos.com/dataset/aashto/e0fcf481_b3d9_47d1_a704_9c54ecc51f05
176,Ohio Workers Transportation Demographics - Census Tract 2006-2010 -- Travel time (Workers 16 years and over),CSV,Date not provided (Last updated by provider),CENSUS TRANSPORTATION PLANNING PRODUCTS PROGRAM (CTPP) converted the American Community Survey results into various demographics that could be used to perform various transportation Studies. This Ohio transportation demographics dataset is ...,https://discovery.smartcolumbusos.com/dataset/aashto/ae39c0c6_96f6_43b2_88a2_d2392948ccaa
177,Poverty Guidelines -- Poverty Guidelines 48 contiguous state Alaska and Hawaii (Data),CSV,"Jan 12, 2018 (Last updated by provider)",The poverty guidelines are the other version of the federal poverty measure. They are issued each year in the Federal Register by the Department of Health and Human Services (HHS). The guidelines are a simplification of the poverty thresho...,https://discovery.smartcolumbusos.com/dataset/aspe/8e69e9cf_15c4_465a_b942_a423da70cfc7
178,Poverty Level by Age and Sex at a Census Tract Level - Central Ohio 2016 -- ACS_16_5YR_B17001_with_ann,CSV,"May 2, 2018 (Last updated by provider)",This dataset identifies the poverty level data categorized by age and sex per each census tract for Central Ohio region. This dataset is for year 2016.,https://discovery.smartcolumbusos.com/dataset/united_states_census_bureau/697c7830_4771_4fda_bebd_7754ba324172
179,Quaternary Geology 500K - Geologic Units -- GeoJSON,GEOJSON,"Apr 3, 2018 (Last updated by provider)","Since the publication of the Glacial map of Ohio (Goldthwait, White, and Forsyth, 1961, U.S. Geological Survey Miscellaneous Geologic Investigations Map I-316), many workers have continued efforts to decipher the Quaternary history, geomorp...",https://discovery.smartcolumbusos.com/dataset/ogrip/0a04b8c6_b32e_445b_ae51_9d48eea381ab
180,Railroads and Crossings -- Crossing Inventory CSV,CSV,"Jan 10, 2017 (Last updated by provider)",,https://discovery.smartcolumbusos.com/dataset/odot/93a4cff4_18fd_4a0a_8e02_c5c04e4520da
181,Railroads and Crossings -- Railroads Inventory CSV,CSV,"Jan 10, 2017 (Last updated by provider)",,https://discovery.smartcolumbusos.com/dataset/odot/54eff3b3_4823_4b30_95bb_21ff0d829e26
182,Road Web Camera Data,CSV,Date not provided (Last updated by provider),,https://discovery.smartcolumbusos.com/dataset/odot/7c77cf62_4435_45ef_a204_a018fb31898e
183,Sample Streaming Dataset,JSON,"Oct 21, 2019 12:23 PM (Last Ingested)",A sample streaming dataset useful for developers to test against. 3 rows every 30 seconds,https://discovery.smartcolumbusos.com/dataset/scos/sample_streaming_dataset
184,Searching for Parking - Columbus 2018 -- Urban Infrastructure,CSV,"May 1, 2018 (Last updated by provider)","This Geotab dataset identifies areas of inadequate parking within a municipality, based on local driving behaviours that are indicative of someone searching for a parking space (like circling etc.). The dataset is based on the past 6 months...",https://discovery.smartcolumbusos.com/dataset/geotab/95146f08_cda0_4ae6_87f9_1e5fc49b1709
185,Service Center Metrics - Columbus 2018 -- Location Analytics,CSV,"Apr 30, 2018 (Last updated by provider)","This Geotab dataset represents the location of automobile service centres based on aggregate service centre visits. In addition to the location of visits, this dataset includes aggregate metrics for average time spent for a repair, frequenc...",https://discovery.smartcolumbusos.com/dataset/geotab/1dfd2944_bad8_4072_b6ed_5e53872a8605
186,Sidewalk Inventory,CSV,"Mar 15, 2018 (Last updated by provider)","This sidewalk dataset is a comprehensive transportation network of over 221,000 features representing existing sidewalks, existing crosswalks (marked/unmarked), and sidewalk gaps and matches the cardinality of unique Location-Based Referenc...",https://discovery.smartcolumbusos.com/dataset/odot/8b42a37d_b4fa_4541_8d62_fa272d458fd9
187,SNAP Eligibility and Allotments Data 2018 -- Gross Monthly Income and Max Monthly Allotment,CSV,"Apr 17, 2018 (Last updated by provider)","This dataset identifies the Gross Monthly Income, Maximum Monthly Allotments, Maximum SNAP Allotments, Maximum Shelter Deductions, Standard Deductions and Maximum Asset limits provided by USDA for the United States.",https://discovery.smartcolumbusos.com/dataset/us_dept_agriculture/875968b5_1835_42b6_947b_dee14a106a54
188,SNAP Eligibility and Allotments Data 2018 -- Maximum Asset Limit,CSV,"Apr 17, 2018 (Last updated by provider)","This dataset identifies the Gross Monthly Income, Maximum Monthly Allotments, Maximum SNAP Allotments, Maximum Shelter Deductions, Standard Deductions and Maximum Asset limits provided by USDA for the United States.",https://discovery.smartcolumbusos.com/dataset/us_dept_agriculture/55a975d6_848d_487a_bf4c_43a301f4797a
189,SNAP Eligibility and Allotments Data 2018 -- Maximum Shelter Deductions,CSV,"Apr 17, 2018 (Last updated by provider)","This dataset identifies the Gross Monthly Income, Maximum Monthly Allotments, Maximum SNAP Allotments, Maximum Shelter Deductions, Standard Deductions and Maximum Asset limits provided by USDA for the United States.",https://discovery.smartcolumbusos.com/dataset/us_dept_agriculture/4a237ff5_e32d_45e7_b2fc_8321aa67074c
190,SNAP Eligibility and Allotments Data 2018 -- Metadata SNAP eligibility and allotments,CSV,"Apr 17, 2018 (Last updated by provider)","This dataset identifies the Gross Monthly Income, Maximum Monthly Allotments, Maximum SNAP Allotments, Maximum Shelter Deductions, Standard Deductions and Maximum Asset limits provided by USDA for the United States.",https://discovery.smartcolumbusos.com/dataset/us_dept_agriculture/5591ed5f_8479_4230_b030_4a1a7a418088
191,SNAP Eligibility and Allotments Data 2018 -- Monthly SNAP Allotments,CSV,"Apr 17, 2018 (Last updated by provider)","This dataset identifies the Gross Monthly Income, Maximum Monthly Allotments, Maximum SNAP Allotments, Maximum Shelter Deductions, Standard Deductions and Maximum Asset limits provided by USDA for the United States.",https://discovery.smartcolumbusos.com/dataset/us_dept_agriculture/9bbb4cbc_d2d4_4f55_b7ee_ac94d7fecf8e
192,SNAP Eligibility and Allotments Data 2018 -- Standard Deductions,CSV,"Apr 17, 2018 (Last updated by provider)","This dataset identifies the Gross Monthly Income, Maximum Monthly Allotments, Maximum SNAP Allotments, Maximum Shelter Deductions, Standard Deductions and Maximum Asset limits provided by USDA for the United States.",https://discovery.smartcolumbusos.com/dataset/us_dept_agriculture/7a734603_9b83_421c_950f_825af119e2ad
193,Snow & Ice Priority Routes -- WGIS,CSV,"Nov 1, 2018 (Last updated by provider)",,https://discovery.smartcolumbusos.com/dataset/odot/9b8f3870_22b0_4cf8_bfc5_269c475292d0
194,Speed Zones for Ohio -- Select,CSV,"Mar 31, 2018 (Last updated by provider)","This datasets covers the speed limits for county, state, market, interstate and US routes in Ohio state.",https://discovery.smartcolumbusos.com/dataset/odot/844a0cef_14c3_4bb6_8863_aaff63dfcda0
195,Summer Meal Sites in the U.S. - 2018,CSV,"May 14, 2018 (Last updated by provider)","This data identifies the meal sites' location, hours of operation, contact information, and service start and end dates.",https://discovery.smartcolumbusos.com/dataset/mid_ohio_food_bank/5a2a9c85_1e29_4ae0_86f1_1f36ab77f2be
196,Traffic AADT - ODOT 2017 -- WGIS Segments,CSV,"Oct 25, 2017 (Last updated by provider)","This dataset identifies the traffic counts and VMT for passenger cars, BC, single and combination trucks. This data covers all the station IDs in the ""Traffic Count Stations"" dataset. (Interstate, state, municipal, county, and US routes are...",https://discovery.smartcolumbusos.com/dataset/odot/1b103bdf_912c_4990_8b9a_22a9987bbc46
197,Traffic AADT - ODOT 2018,CSV,Date not provided (Last updated by provider),"This dataset identifies the traffic counts and VMT for passenger cars, BC, single and combination trucks. This data covers all the station IDs in the ""Traffic Count Stations"" dataset. (Interstate, state, municipal, county, and US routes are...",https://discovery.smartcolumbusos.com/dataset/odot/a7d6ca61_451b_4d5e_bac1_e0fd6b31def8
198,Trip Data - Mobility Assistance for People with Cognitive Disabilities (MAPCD) Project,JSON,Date not provided (Last updated by provider),"This dataset presents information about the trips taken by participants of MAPCD project using the Application. Information includes trip times, route type, and time elapsed during the trip.",https://discovery.smartcolumbusos.com/dataset/able-link/mapcd_trip_data
199,Truck Parking - Columbus 2018 -- Location Analytics,CSV,"May 1, 2018 (Last updated by provider)","This Geotab dataset represents the parking locations for heavy duty trucks, including various metrics associated with these parking locations, popular hours, and vehicle types. The dataset is based on the previous 12 months of commercial ve...",https://discovery.smartcolumbusos.com/dataset/geotab/9b3e1b53_5f54_4b8b_9cee_fb3073502d66
200,Unified School Districts - Census,GEOJSON,Date not provided (Last updated by provider),"This dataset presents information about school districts located in the United States. Information includes location, lowest and highest grades of education offered, land and water area, etc.,",https://discovery.smartcolumbusos.com/dataset/united_states_census_bureau/unified_school_districts_census
201,"Unintentional Drug Overdose Data -- Age Adjusted Rate per 100,000 Population from Deaths by Year, Ohio",CSV,Date not provided (Last updated by provider),,https://discovery.smartcolumbusos.com/dataset/ohio_department_of_health/1b112f9f_5267_4b97_9dfc_361b3c522a62
202,"Unintentional Drug Overdose Data -- Deaths by Year, Ohio - Includes deaths due to unintentional drug poisoning",CSV,Date not provided (Last updated by provider),,https://discovery.smartcolumbusos.com/dataset/ohio_department_of_health/ac297fd3_71e9_480f_8751_1cec0cfd8087
203,"Unintentional Drug Overdose Data -- Fentanyl and Related Deaths by Age and Sex, Ohio",CSV,Date not provided (Last updated by provider),,https://discovery.smartcolumbusos.com/dataset/ohio_department_of_health/dd66bd77_7fa2_4b57_9a21_8d1606430d5c
204,"Unintentional Drug Overdose Data -- Fentanyl and Related Deaths, Ohio",CSV,Date not provided (Last updated by provider),,https://discovery.smartcolumbusos.com/dataset/ohio_department_of_health/c392f418_e591_43d2_8cf8_9de80e9caea8
205,"Unintentional Drug Overdose Data -- Number of Prescription Opiate Related Deaths by Year, Ohio",CSV,Date not provided (Last updated by provider),,https://discovery.smartcolumbusos.com/dataset/ohio_department_of_health/be47aee0_5f08_4449_a9f3_fbea2cd11cb2
206,Unintentional Drug Overdose Data -- Ohio Resident Heroin Related Deaths,CSV,Date not provided (Last updated by provider),,https://discovery.smartcolumbusos.com/dataset/ohio_department_of_health/599bf90b_e212_4f5e_beba_c4854e8e09e5
207,"Unintentional Drug Overdose Data -- Percentage of Benzodiazepines Related Deaths by Year, Ohio",CSV,Date not provided (Last updated by provider),,https://discovery.smartcolumbusos.com/dataset/ohio_department_of_health/b7f74914_b6ed_43d6_8831_bb4e1a555d7b
208,"Unintentional Drug Overdose Data -- Percentage of Cocaine Related Deaths by Year, Ohio",CSV,Date not provided (Last updated by provider),,https://discovery.smartcolumbusos.com/dataset/ohio_department_of_health/12938d01_ace3_4945_9295_1ff7a6672a53
209,"Unintentional Drug Overdose Data -- Percentage of Fentanyl and Related Deaths by Year, Ohio",CSV,Date not provided (Last updated by provider),,https://discovery.smartcolumbusos.com/dataset/ohio_department_of_health/f365ec21_83c3_4061_978b_563eb2f60523
210,"Unintentional Drug Overdose Data -- Percentage of Heroin Related Deaths by Year, Ohio",CSV,Date not provided (Last updated by provider),,https://discovery.smartcolumbusos.com/dataset/ohio_department_of_health/550de54a_8055_4777_abfa_5ce56ef7627d
211,"US Hazardous Materials Routes, Geographic WGS84, BTS (2006)",CSV,"Apr 9, 2015 (Last updated by provider)",The Federal Motor Carrier Safety Administration (FMCSA) Hazardous Material Routes were developed using the 2004 First Edition TIGER/Line files. The routes are described in the National Hazardous Material Route Registry (NMHRR). The on-line ...,https://discovery.smartcolumbusos.com/dataset/data_gov/a33b610e_38ec_4e64_aeb7_042b65c23e9d
212,USGS WInd Turbine Data,JSON,Date not provided (Last updated by provider),"This data presents information about wind turbines including dimensions, locations, capacities, and active operation time frame.",https://discovery.smartcolumbusos.com/dataset/usgs/usgs_wind_turbine_data
213,Yellow Cab GPS Feed Data from April 2017 to April 2018,CSV,"May 1, 2018 (Last updated by provider)",This dataset identifies the GPS feeds of Yellow cabs running in Columbus region from April 2017 to April 2018,https://discovery.smartcolumbusos.com/dataset/yellow_cab/6979a564_6f6c_4178_85e8_1fc9c9776bce
